,genes,gene_names
5246,ER3413_380_ECOLI,insE1
5247,ER3413_2150_ECOLI,insE1
5248,ER3413_1052_ECOLI,insE1
5404,ER3413_4669_ECOLI,rdlD
5452,ER3413_4643_ECOLI,rdlB
5472,ER3413_4690_ECOLI,fnrS
5631,ER3413_4649_ECOLI,rydB
5708,ER3413_4568_ECOLI,insA
5709,ER3413_4615_ECOLI,insA
5941,ER3413_4569_ECOLI,insA
5942,ER3413_4605_ECOLI,insA
5952,ER3413_4655_ECOLI,sibB
6017,ER3413_3302_ECOLI,insH1
6132,ER3413_4609_ECOLI,insA
6143,ER3413_4660_ECOLI,micA
6263,ER3413_379_ECOLI,insF1
6264,ER3413_307_ECOLI,insF1
6265,ER3413_2152_ECOLI,insF1
6267,ER3413_1051_ECOLI,insF1
6356,ER3413_4663_ECOLI,omrB
6418,ER3413_4673_ECOLI,ryjA
6635,ER3413_4638_ECOLI,sokC
6810,ER3413_4656_ECOLI,cyaR
6906,ER3413_2093_ECOLI,insH1
6907,ER3413_1359_ECOLI,insH1
6908,ER3413_562_ECOLI,insH1
6909,ER3413_3072_ECOLI,insH1
6910,ER3413_3601_ECOLI,insH1
6915,ER3413_4644_ECOLI,rdlC
6925,ER3413_4687_ECOLI,eyeA
7008,ER3413_4652_ECOLI,ryeB
7162,ER3413_4653_ECOLI,isrC
7388,ER3413_4681_ECOLI,sokA
7548,ER3413_566_ECOLI,nohD
7564,ER3413_4646_ECOLI,mcaS
