Preferred_Name	Name	Source
ER3413_20	AIZ51762	Ensembl Protein ID
ER3413_20	ileS	Gene Name
ER3413_20	b0026	RefSeq Protein ID
ER3413_21	ER3413_21	Ensembl Gene ID
ER3413_21	AIZ51846	Ensembl Protein ID
ER3413_21	lspA	Gene Name
ER3413_21	b0027	RefSeq Protein ID
ER3413_22	ER3413_22	Ensembl Gene ID
ER3413_22	AIZ51943	Ensembl Protein ID
ER3413_22	fkpB	Gene Name
ER3413_22	b0028	RefSeq Protein ID
ER3413_23	ER3413_23	Ensembl Gene ID
ER3413_23	AIZ52041	Ensembl Protein ID
ER3413_23	ispH	Gene Name
ER3413_23	b0029	RefSeq Protein ID
ER3413_24	ER3413_24	Ensembl Gene ID
ER3413_24	AIZ52142	Ensembl Protein ID
ER3413_24	rihC	Gene Name
ER3413_24	b0030	RefSeq Protein ID
ER3413_25	ER3413_25	Ensembl Gene ID
ER3413_25	AIZ52232	Ensembl Protein ID
ER3413_25	dapB	Gene Name
ER3413_25	b0031	RefSeq Protein ID
ER3413_27	ER3413_27	Ensembl Gene ID
ER3413_27	AIZ52435	Ensembl Protein ID
ER3413_27	carA	Gene Name
ER3413_27	b0032	RefSeq Protein ID
ER3413_28	ER3413_28	Ensembl Gene ID
ER3413_28	AIZ52520	Ensembl Protein ID
ER3413_28	carB	Gene Name
ER3413_28	b0033	RefSeq Protein ID
ER3413_29	ER3413_29	Ensembl Gene ID
ER3413_29	AIZ52615	Ensembl Protein ID
ER3413_29	caiF	Gene Name
ER3413_29	b0034	RefSeq Protein ID
ER3413_30	ER3413_30	Ensembl Gene ID
ER3413_30	AIZ52711	Ensembl Protein ID
ER3413_30	caiE	Gene Name
ER3413_30	b0035	RefSeq Protein ID
ER3413_31	ER3413_31	Ensembl Gene ID
ER3413_31	AIZ52803	Ensembl Protein ID
ER3413_31	caiD	Gene Name
ER3413_31	b0036	RefSeq Protein ID
ER3413_32	ER3413_32	Ensembl Gene ID
ER3413_32	AIZ52903	Ensembl Protein ID
ER3413_32	caiC	Gene Name
ER3413_32	b0037	RefSeq Protein ID
ER3413_33	ER3413_33	Ensembl Gene ID
ER3413_33	AIZ53002	Ensembl Protein ID
ER3413_33	caiB	Gene Name
ER3413_33	b0038	RefSeq Protein ID
ER3413_34	ER3413_34	Ensembl Gene ID
ER3413_34	AIZ53096	Ensembl Protein ID
ER3413_34	caiA	Gene Name
ER3413_34	b0039	RefSeq Protein ID
ER3413_35	ER3413_35	Ensembl Gene ID
ER3413_35	AIZ53203	Ensembl Protein ID
ER3413_35	caiT	Gene Name
ER3413_35	b0040	RefSeq Protein ID
ER3413_36	ER3413_36	Ensembl Gene ID
ER3413_36	AIZ53300	Ensembl Protein ID
ER3413_36	fixA	Gene Name
ER3413_36	b0041	RefSeq Protein ID
ER3413_37	ER3413_37	Ensembl Gene ID
ER3413_37	AIZ53399	Ensembl Protein ID
ER3413_37	fixB	Gene Name
ER3413_37	b0042	RefSeq Protein ID
ER3413_38	ER3413_38	Ensembl Gene ID
ER3413_38	AIZ53497	Ensembl Protein ID
ER3413_38	fixC	Gene Name
ER3413_38	b0043	RefSeq Protein ID
ER3413_39	ER3413_39	Ensembl Gene ID
ER3413_39	AIZ53594	Ensembl Protein ID
ER3413_39	fixX	Gene Name
ER3413_39	b0044	RefSeq Protein ID
ER3413_40	ER3413_40	Ensembl Gene ID
ER3413_40	AIZ53686	Ensembl Protein ID
ER3413_40	yaaU	Gene Name
ER3413_40	b0045	RefSeq Protein ID
ER3413_41	ER3413_41	Ensembl Gene ID
ER3413_41	AIZ53780	Ensembl Protein ID
ER3413_41	kefF	Gene Name
ER3413_41	b0046	RefSeq Protein ID
ER3413_42	ER3413_42	Ensembl Gene ID
ER3413_42	AIZ53871	Ensembl Protein ID
ER3413_42	kefC	Gene Name
ER3413_42	b0047	RefSeq Protein ID
ER3413_43	ER3413_43	Ensembl Gene ID
ER3413_43	AIZ53974	Ensembl Protein ID
ER3413_43	folA	Gene Name
ER3413_43	b0048	RefSeq Protein ID
ER3413_44	ER3413_44	Ensembl Gene ID
ER3413_44	AIZ54078	Ensembl Protein ID
ER3413_44	apaH	Gene Name
ER3413_44	b0049	RefSeq Protein ID
ER3413_45	ER3413_45	Ensembl Gene ID
ER3413_45	AIZ54161	Ensembl Protein ID
ER3413_45	apaG	Gene Name
ER3413_45	b0050	RefSeq Protein ID
ER3413_46	ER3413_46	Ensembl Gene ID
ER3413_46	AIZ54271	Ensembl Protein ID
ER3413_46	rsmA	Gene Name
ER3413_46	b0051	RefSeq Protein ID
ER3413_47	ER3413_47	Ensembl Gene ID
ER3413_47	AIZ54309	Ensembl Protein ID
ER3413_47	pdxA	Gene Name
ER3413_47	b0052	RefSeq Protein ID
ER3413_48	ER3413_48	Ensembl Gene ID
ER3413_48	AIZ54320	Ensembl Protein ID
ER3413_48	surA	Gene Name
ER3413_48	b0053	RefSeq Protein ID
ER3413_49	ER3413_49	Ensembl Gene ID
ER3413_49	AIZ54330	Ensembl Protein ID
ER3413_49	lptD	Gene Name
ER3413_49	b0054	RefSeq Protein ID
ER3413_50	ER3413_50	Ensembl Gene ID
ER3413_50	AIZ54342	Ensembl Protein ID
ER3413_50	djlA	Gene Name
ER3413_50	b0055	RefSeq Protein ID
ER3413_53	ER3413_53	Ensembl Gene ID
ER3413_53	AIZ54369	Ensembl Protein ID
ER3413_53	rluA	Gene Name
ER3413_53	b0058	RefSeq Protein ID
ER3413_54	ER3413_54	Ensembl Gene ID
ER3413_54	AIZ54380	Ensembl Protein ID
ER3413_54	rapA	Gene Name
ER3413_54	b0059	RefSeq Protein ID
ER3413_55	ER3413_55	Ensembl Gene ID
ER3413_55	AIZ54387	Ensembl Protein ID
ER3413_55	polB	Gene Name
ER3413_55	b0060	RefSeq Protein ID
ER3413_56	ER3413_56	Ensembl Gene ID
ER3413_56	AIZ54396	Ensembl Protein ID
ER3413_56	araD	Gene Name
ER3413_56	b0061	RefSeq Protein ID
ER3413_57	ER3413_57	Ensembl Gene ID
ER3413_57	AIZ54404	Ensembl Protein ID
ER3413_57	araA	Gene Name
ER3413_57	b0062	RefSeq Protein ID
ER3413_58	ER3413_58	Ensembl Gene ID
ER3413_58	AIZ54414	Ensembl Protein ID
ER3413_58	araB	Gene Name
ER3413_58	b0063	RefSeq Protein ID
ER3413_59	ER3413_59	Ensembl Gene ID
ER3413_59	AIZ54425	Ensembl Protein ID
ER3413_59	araC	Gene Name
ER3413_59	b0064	RefSeq Protein ID
ER3413_60	ER3413_60	Ensembl Gene ID
ER3413_60	AIZ54435	Ensembl Protein ID
ER3413_60	yabI	Gene Name
ER3413_60	b0065	RefSeq Protein ID
ER3413_61	ER3413_61	Ensembl Gene ID
ER3413_61	AIZ54446	Ensembl Protein ID
ER3413_61	thiQ	Gene Name
ER3413_61	b0066	RefSeq Protein ID
ER3413_62	ER3413_62	Ensembl Gene ID
ER3413_62	AIZ54456	Ensembl Protein ID
ER3413_62	thiP	Gene Name
ER3413_62	b0067	RefSeq Protein ID
ER3413_63	ER3413_63	Ensembl Gene ID
ER3413_63	AIZ54466	Ensembl Protein ID
ER3413_63	thiB	Gene Name
ER3413_63	b0068	RefSeq Protein ID
ER3413_64	ER3413_64	Ensembl Gene ID
ER3413_64	AIZ54475	Ensembl Protein ID
ER3413_64	sgrR	Gene Name
ER3413_64	b0069	RefSeq Protein ID
ER3413_65	ER3413_65	Ensembl Gene ID
ER3413_65	AIZ54484	Ensembl Protein ID
ER3413_65	sgrT	Gene Name
ER3413_65	b4662	RefSeq Protein ID
ER3413_66	ER3413_66	Ensembl Gene ID
ER3413_66	AIZ54495	Ensembl Protein ID
ER3413_66	setA	Gene Name
ER3413_66	b0070	RefSeq Protein ID
ER3413_67	ER3413_67	Ensembl Gene ID
ER3413_67	AIZ54506	Ensembl Protein ID
ER3413_67	leuD	Gene Name
ER3413_67	b0071	RefSeq Protein ID
ER3413_68	ER3413_68	Ensembl Gene ID
ER3413_68	AIZ54515	Ensembl Protein ID
ER3413_68	leuC	Gene Name
ER3413_68	b0072	RefSeq Protein ID
ER3413_69	ER3413_69	Ensembl Gene ID
ER3413_69	AIZ54519	Ensembl Protein ID
ER3413_69	leuB	Gene Name
ER3413_69	b0073	RefSeq Protein ID
ER3413_70	ER3413_70	Ensembl Gene ID
ER3413_70	AIZ54529	Ensembl Protein ID
ER3413_70	leuA	Gene Name
ER3413_70	b0074	RefSeq Protein ID
ER3413_4600	ER3413_4600	Ensembl Gene ID
ER3413_4600	AIZ54272	Ensembl Protein ID
ER3413_4600	leuL	Gene Name
ER3413_4600	b0075	RefSeq Protein ID
ER3413_72	ER3413_72	Ensembl Gene ID
ER3413_72	AIZ54546	Ensembl Protein ID
ER3413_72	leuO	Gene Name
ER3413_72	b0076	RefSeq Protein ID
