BSU_rRNA_29_BSUBT
BSU_rRNA_5_BSUBT
BSU_rRNA_2_BSUBT
BSU_rRNA_20_BSUBT
BSU_rRNA_12_BSUBT
BSU_rRNA_10_BSUBT
BSU_rRNA_7_BSUBT
BSU_rRNA_17_BSUBT
BSU_rRNA_27_BSUBT
BSU_rRNA_14_BSUBT
BSU23280_BSUBT
ER3413_3361_ECOLI
ER3413_2671_ECOLI
ER3413_3967_ECOLI
ER3413_4138_ECOLI
ER3413_4094_ECOLI
ER3413_208_ECOLI
ER3413_3872_ECOLI
ER3413_4091_ECOLI
ER3413_204_ECOLI
ER3413_3962_ECOLI
ER3413_3869_ECOLI
ER3413_4134_ECOLI
ER3413_3365_ECOLI
ER3413_2674_ECOLI
BSU40100_BSUBT
BSU40420_BSUBT
BSU_rRNA_25_BSUBT
BSU_rRNA_22_BSUBT
BSU_rRNA_9_BSUBT
BSU_rRNA_19_BSUBT
BSU_rRNA_1_BSUBT
BSU_rRNA_6_BSUBT
BSU_rRNA_16_BSUBT
BSU_rRNA_30_BSUBT
BSU_rRNA_23_BSUBT
BSU_rRNA_4_BSUBT
BSU40840_BSUBT
BSU01490_BSUBT
BSU01380_BSUBT
EBG00000977977_BSUBT
EBG00000977919_BSUBT
EBG00000977913_BSUBT
EBG00000977941_BSUBT
EBG00000977916_BSUBT
EBG00000977986_BSUBT
EBG00000978007_BSUBT
EBG00000977989_BSUBT
EBG00000977903_BSUBT
EBG00000978020_BSUBT
BSU_tRNA_20_BSUBT
BSU_tRNA_28_BSUBT
BSU_tRNA_12_BSUBT
BSU_tRNA_78_BSUBT
BSU_tRNA_32_BSUBT
BSU_tRNA_52_BSUBT
BSU23580_BSUBT
BSU06600_BSUBT
BSU01090_BSUBT
BSU27480_BSUBT
BSU14550_BSUBT
BSU_rRNA_13_BSUBT
BSU_rRNA_11_BSUBT
BSU_rRNA_8_BSUBT
BSU_rRNA_28_BSUBT
BSU_rRNA_24_BSUBT
BSU_rRNA_26_BSUBT
BSU_rRNA_21_BSUBT
