ykoX_BSUBT
pdhC_BSUBT
rplC_BSUBT
dapH_BSUBT
atpG_BSUBT
ptsG_BSUBT
ycgI_BSUBT
racX_BSUBT
mapA_BSUBT
adk_BSUBT
rnpA_BSUBT
gapA_BSUBT
sftA_BSUBT
rpsE_BSUBT
ssbA_BSUBT
rpsF_BSUBT
rpsC_BSUBT
yqfO_BSUBT
rplU_BSUBT
rpoA_BSUBT
yusI_BSUBT
fusA_BSUBT
mnaA_BSUBT
fumC_BSUBT
pdhB_BSUBT
tufA_BSUBT
ccpN_BSUBT
ykvZ_BSUBT
rplF_BSUBT
rpmI_BSUBT
yrkA_BSUBT
rpsL_BSUBT
rplO_BSUBT
ytxE_BSUBT
ctsR_BSUBT
dxs_BSUBT
pit_BSUBT
ptsI_BSUBT
rpmC_BSUBT
ymfH_BSUBT
rpsD_BSUBT
ycsN_BSUBT
greA_BSUBT
pksN_BSUBT
dhbF_BSUBT
yqeY_BSUBT
ycnJ_BSUBT
nrnB_BSUBT
hemA_BSUBT
rpsK_BSUBT
parE_BSUBT
rsbP_BSUBT
yeeC_BSUBT
recA_BSUBT
odhA_BSUBT
ylxP_BSUBT
yerH_BSUBT
secY_BSUBT
dltB_BSUBT
asd_BSUBT
yydK_BSUBT
prfB_BSUBT
fabF_BSUBT
ytiB_BSUBT
yitT_BSUBT
yocA_BSUBT
rbsC_BSUBT
rplK_BSUBT
ahpC_BSUBT
sufD_BSUBT
accB_BSUBT
udk_BSUBT
asnS_BSUBT
frr_BSUBT
srfAB_BSUBT
cpgA_BSUBT
yycB_BSUBT
ampS_BSUBT
rpsB_BSUBT
atpF_BSUBT
gapB_BSUBT
ywjI_BSUBT
glnA_BSUBT
sipS_BSUBT
malS_BSUBT
ybfQ_BSUBT
valS_BSUBT
nhaK_BSUBT
bdbD_BSUBT
groEL_BSUBT
speD_BSUBT
pckA_BSUBT
rpfA_BSUBT
yfhK_BSUBT
sufU_BSUBT
bkdAB_BSUBT
srfAA_BSUBT
argI_BSUBT
proS_BSUBT
rpsG_BSUBT
pdhD_BSUBT
fbaA_BSUBT
ybzG_BSUBT
glyA_BSUBT
prs_BSUBT
drm_BSUBT
yhcG_BSUBT
rpsH_BSUBT
yjcG_BSUBT
qoxB_BSUBT
hslO_BSUBT
rplX_BSUBT
sucD_BSUBT
dhaS_BSUBT
iolB_BSUBT
ykuI_BSUBT
ytrF_BSUBT
ftsH_BSUBT
ctaB_BSUBT
manP_BSUBT
wprA_BSUBT
ruvB_BSUBT
ydeO_BSUBT
ahpF_BSUBT
ydbK_BSUBT
yxxG_BSUBT
rppG_BSUBT
rplV_BSUBT
nagP_BSUBT
fapR_BSUBT
mraW_BSUBT
ptsH_BSUBT
mntB_BSUBT
ponA_BSUBT
yeeF_BSUBT
glpK_BSUBT
ykuL_BSUBT
yszB_BSUBT
acoC_BSUBT
gatC_BSUBT
katX_BSUBT
glmS_BSUBT
acoB_BSUBT
yvyE_BSUBT
yukB_BSUBT
iolI_BSUBT
gndA_BSUBT
fabL_BSUBT
pdhA_BSUBT
tkt_BSUBT
ykpA_BSUBT
rpmA_BSUBT
holB_BSUBT
rplM_BSUBT
atpI_BSUBT
ysdC_BSUBT
yhaP_BSUBT
ileS_BSUBT
thiN_BSUBT
fabHA_BSUBT
ylxR_BSUBT
resD_BSUBT
yaaO_BSUBT
leuS_BSUBT
pgm_BSUBT
buk_BSUBT
thrS_BSUBT
yhdP_BSUBT
acoL_BSUBT
rpsS_BSUBT
ymdB_BSUBT
manA_BSUBT
pupG_BSUBT
infA_BSUBT
metN_BSUBT
manR_BSUBT
mecA_BSUBT
rplD_BSUBT
moeB_BSUBT
mraZ_BSUBT
ytcI_BSUBT
ddl_BSUBT
hprT_BSUBT
pheT_BSUBT
polC_BSUBT
yfmL_BSUBT
dtpT_BSUBT
spo0B_BSUBT
dnaX_BSUBT
guaA_BSUBT
qoxA_BSUBT
hemQ_BSUBT
yccF_BSUBT
tig_BSUBT
glcT_BSUBT
bglA_BSUBT
rplGB_BSUBT
yybE_BSUBT
dltA_BSUBT
mtlF_BSUBT
proB_BSUBT
gltA_BSUBT
