pksM_BSUBT
skfF_BSUBT
atpH_BSUBT
wapA_BSUBT
srfAA_BSUBT
ynaD_BSUBT
ald_BSUBT
sodA_BSUBT
licA_BSUBT
ppsA_BSUBT
yvrE_BSUBT
rbsR_BSUBT
yfhO_BSUBT
rsbX_BSUBT
ptsI_BSUBT
racE_BSUBT
comA_BSUBT
fliI_BSUBT
iseA_BSUBT
yaaK_BSUBT
lrgA_BSUBT
yydD_BSUBT
fabL_BSUBT
lutA_BSUBT
atpD_BSUBT
rplD_BSUBT
ctc_BSUBT
yfmT_BSUBT
yacL_BSUBT
glpF_BSUBT
pgm_BSUBT
mdh_BSUBT
odhA_BSUBT
cheY_BSUBT
fliK_BSUBT
spxA_BSUBT
licH_BSUBT
ahpF_BSUBT
lutB_BSUBT
sdhB_BSUBT
licB_BSUBT
yqfO_BSUBT
citB_BSUBT
tufA_BSUBT
gatB_BSUBT
glyA_BSUBT
ahpC_BSUBT
rbsB_BSUBT
mbl_BSUBT
dctP_BSUBT
bkdAA_BSUBT
prkC_BSUBT
rbsC_BSUBT
drm_BSUBT
yhaR_BSUBT
btr_BSUBT
atpA_BSUBT
ylmE_BSUBT
yqaP_BSUBT
yjcG_BSUBT
pdhA_BSUBT
srfAB_BSUBT
bpr_BSUBT
yhjA_BSUBT
pycA_BSUBT
ytxJ_BSUBT
rplF_BSUBT
ftsA_BSUBT
ctsR_BSUBT
ansB_BSUBT
atpG_BSUBT
yqgX_BSUBT
pheS_BSUBT
rpsNA_BSUBT
sufC_BSUBT
rplE_BSUBT
hag_BSUBT
dnaK_BSUBT
odhB_BSUBT
rpoA_BSUBT
ppiB_BSUBT
tpx_BSUBT
sigH_BSUBT
pbpC_BSUBT
ycsE_BSUBT
ftsH_BSUBT
ywjA_BSUBT
rplC_BSUBT
ptsG_BSUBT
yfkM_BSUBT
dapH_BSUBT
nosA_BSUBT
yczL_BSUBT
rplJ_BSUBT
dapX_BSUBT
rpsH_BSUBT
bkdB_BSUBT
rplQ_BSUBT
fbaA_BSUBT
yhcX_BSUBT
amyE_BSUBT
rpoB_BSUBT
rpoC_BSUBT
serA_BSUBT
spo0M_BSUBT
mgsR_BSUBT
rttL_BSUBT
yoxD_BSUBT
proA_BSUBT
rpsF_BSUBT
rapF_BSUBT
sigB_BSUBT
secY_BSUBT
cinA_BSUBT
mapA_BSUBT
ybdG_BSUBT
yxiF_BSUBT
htrC_BSUBT
rpsQ_BSUBT
rpsT_BSUBT
sppA_BSUBT
prs_BSUBT
mntD_BSUBT
pfkA_BSUBT
rpsC_BSUBT
fliF_BSUBT
cdnD_BSUBT
folC_BSUBT
infA_BSUBT
ybzG_BSUBT
ysdC_BSUBT
bglH_BSUBT
pnpA_BSUBT
pgk_BSUBT
codV_BSUBT
fhuB_BSUBT
queC_BSUBT
lutC_BSUBT
yhaH_BSUBT
fusA_BSUBT
bglP_BSUBT
rpsE_BSUBT
wprA_BSUBT
ndh_BSUBT
pyrG_BSUBT
rplP_BSUBT
sdhA_BSUBT
manA_BSUBT
ywdJ_BSUBT
acsA_BSUBT
mntA_BSUBT
gmk_BSUBT
rpsB_BSUBT
ylxR_BSUBT
yqeY_BSUBT
polX_BSUBT
argI_BSUBT
fliG_BSUBT
bdhA_BSUBT
glnA_BSUBT
epsB_BSUBT
ytcJ_BSUBT
adk_BSUBT
gndA_BSUBT
ytnP_BSUBT
nth_BSUBT
ylbN_BSUBT
gapB_BSUBT
licC_BSUBT
rbsK_BSUBT
rbsA_BSUBT
speD_BSUBT
lcfB_BSUBT
gntZ_BSUBT
hemD_BSUBT
bcd_BSUBT
ywrF_BSUBT
icd_BSUBT
recA_BSUBT
veg_BSUBT
ytxD_BSUBT
jag_BSUBT
treA_BSUBT
buk_BSUBT
ysxB_BSUBT
rpmA_BSUBT
yrrO_BSUBT
guaB_BSUBT
eglS_BSUBT
pdhC_BSUBT
ywdF_BSUBT
rsbRB_BSUBT
qoxC_BSUBT
rpsK_BSUBT
glmS_BSUBT
flgK_BSUBT
yfiY_BSUBT
yueB_BSUBT
yjbO_BSUBT
sucC_BSUBT
atpF_BSUBT
ylxL_BSUBT
sigD_BSUBT
pncB_BSUBT
yjdB_BSUBT
polA_BSUBT
pgi_BSUBT
yjlC_BSUBT
ybeC_BSUBT
dnaJ_BSUBT
pdxS_BSUBT
ykuU_BSUBT
lplJ_BSUBT
yqeK_BSUBT
ywcH_BSUBT
eno_BSUBT
sucD_BSUBT
kbl_BSUBT
pbuG_BSUBT
yvlD_BSUBT
rplGB_BSUBT
skfE_BSUBT
ftsZ_BSUBT
ycnI_BSUBT
yxaL_BSUBT
rpsO_BSUBT
mcsB_BSUBT
asd_BSUBT
mreB_BSUBT
ywjH_BSUBT
pyrH_BSUBT
tsf_BSUBT
engD_BSUBT
yscB_BSUBT
rnjA_BSUBT
aspB_BSUBT
